# par/laplace carray-stencil 1000 examples/laplace/data/pls-300x300.ppm out.ppm +RTS -qg -N6
1  31552 31431 32408
2  15903 15862 15962
4  8708  8605  9210 
6  6068  6038  6099
8  4963  4930  4994
10 4405  4311  4581
12 3994  3935  4117
14 3792  3742  3835
16 3843  3713  4766
18 4925	 4899  4975
20 4679  4644  4707
22 4619	 4554  4692
24 4535  4476  4584
26 4425	 4376  4453
28 4432  4404  4461
30 4633	 4574  4695
32 4772  4709  4856




